,epochs,t_loss,t_acc,t_iou,v_loss,v_acc,v_iou
0,0,0.17114142256860548,0.9426380395889282,0.3404000699520111,0.17834340035915375,0.9363804459571838,0.26369282603263855
1,1,0.16405510088691536,0.9417977333068848,0.35456013679504395,0.1832582950592041,0.9332609176635742,0.2818484902381897
2,2,0.15343510528477147,0.9471065998077393,0.3695882260799408,0.1721365749835968,0.9396133422851562,0.2637943625450134
3,3,0.15935499105268183,0.9454671740531921,0.3574463427066803,0.1641104370355606,0.9419518709182739,0.22626300156116486
4,4,0.1536772926636518,0.9474449157714844,0.37455546855926514,0.15585000813007355,0.943264901638031,0.24791987240314484
5,5,0.14370862452181962,0.9501729011535645,0.3844577670097351,0.1571141928434372,0.9437054395675659,0.21953310072422028
6,6,0.14126055089768785,0.950781524181366,0.380562424659729,0.14794407784938812,0.9452871084213257,0.2686435580253601
7,7,0.1401835441446075,0.9505885243415833,0.3825266361236572,0.14731840789318085,0.9452635049819946,0.2544061541557312
8,8,0.1393910198687361,0.9511440396308899,0.35501861572265625,0.14539901912212372,0.9446258544921875,0.22909501194953918
9,9,0.14487558947756696,0.9468644261360168,0.3747117817401886,0.16234691441059113,0.9412283897399902,0.23164798319339752
10,10,0.14840075461110339,0.9450393915176392,0.39236006140708923,0.15119491517543793,0.9416553974151611,0.21072645485401154
11,11,0.14027074587423927,0.9516445994377136,0.38335323333740234,0.1571369767189026,0.9415407776832581,0.21775925159454346
12,12,0.13483606059199724,0.9510585069656372,0.37218061089515686,0.1418873816728592,0.9465410113334656,0.25825628638267517
13,13,0.1361678676942411,0.9518048167228699,0.3702302873134613,0.14038404822349548,0.9457132816314697,0.24411547183990479
14,14,0.13096974834722155,0.9526199102401733,0.37978416681289673,0.1423703134059906,0.9451810121536255,0.2412007600069046
15,15,0.12872610989516267,0.954246997833252,0.40367433428764343,0.15597109496593475,0.9484771490097046,0.30365148186683655
16,16,0.12687233133384815,0.9542766809463501,0.4098372757434845,0.14180967211723328,0.9457718729972839,0.2403094470500946
17,17,0.12652789873148626,0.9549290537834167,0.3986882269382477,0.14252018928527832,0.9445485472679138,0.22899684309959412
18,18,0.13357878711749202,0.952326774597168,0.4092189371585846,0.13967563211917877,0.9487208724021912,0.2704872786998749
19,19,0.1252615129416928,0.955142617225647,0.3939335346221924,0.13380487263202667,0.9488146305084229,0.2709673047065735
20,20,0.12786097675024605,0.9540330171585083,0.3959011137485504,0.13395801186561584,0.9481122493743896,0.28029748797416687
21,21,0.12176390401033971,0.9558918476104736,0.43208783864974976,0.139620840549469,0.9456687569618225,0.2523253262042999
22,22,0.12447383884006204,0.954292893409729,0.39645954966545105,0.13061025738716125,0.9507877826690674,0.2933942973613739
23,23,0.11469636372445773,0.9584681391716003,0.4173702001571655,0.12810920178890228,0.950051486492157,0.2877044081687927
24,24,0.1181680942670657,0.9559243321418762,0.4149755835533142,0.13742589950561523,0.9520111083984375,0.32408976554870605
25,25,0.116996173791659,0.9575338959693909,0.42770811915397644,0.1357184499502182,0.9470371603965759,0.2726326286792755
26,26,0.118697283249229,0.9560156464576721,0.43190300464630127,0.12641850113868713,0.9519667029380798,0.2925834655761719
27,27,0.11830291990787746,0.9564594626426697,0.41069358587265015,0.12508165836334229,0.9521445631980896,0.303512305021286
28,28,0.11294484025804707,0.9579113125801086,0.4368281662464142,0.13730520009994507,0.9498850703239441,0.2788568139076233
29,29,0.11939591274429591,0.9558014869689941,0.42979779839515686,0.133223295211792,0.9483188390731812,0.27626127004623413
