,epochs,t_loss,t_acc,t_iou,v_loss,v_acc,v_iou
0,0,0.9733288479156983,0.7110305428504944,0.10613615065813065,1.0053147077560425,0.643997311592102,0.0695267990231514
1,1,0.30332367400376076,0.8995404243469238,0.10697116702795029,0.21955057978630066,0.9284829497337341,0.13605396449565887
2,2,0.19865843343238035,0.9322549104690552,0.2594408094882965,0.20659108459949493,0.9226561784744263,0.22350101172924042
3,3,0.17791599206005534,0.938012957572937,0.2993309497833252,0.17346489429473877,0.9370461106300354,0.19396483898162842
4,4,0.16440612350542766,0.941641628742218,0.3118774890899658,0.17175820469856262,0.9373178482055664,0.2419154793024063
5,5,0.16940822064852676,0.9387751221656799,0.32126283645629883,0.16717903316020966,0.9373630285263062,0.19610366225242615
6,6,0.15546464926013961,0.9451450705528259,0.32780560851097107,0.1813393086194992,0.9391495585441589,0.19598475098609924
7,7,0.146236660818641,0.9488393664360046,0.34620875120162964,0.16950300335884094,0.936213493347168,0.2710956931114197
8,8,0.1626438703805877,0.9416840672492981,0.3567069172859192,0.23606407642364502,0.9216049909591675,0.27973392605781555
9,9,0.16234649382889843,0.944166362285614,0.33789148926734924,0.1482967585325241,0.9438709020614624,0.2840622365474701
10,10,0.1586258340304574,0.941127598285675,0.3454611599445343,0.1603263020515442,0.9398787617683411,0.2410561591386795
11,11,0.14431517866726679,0.9478908777236938,0.3559284508228302,0.15824760496616364,0.9379338622093201,0.2753354012966156
12,12,0.1474211603665772,0.9471772313117981,0.3541645109653473,0.1668093055486679,0.9373656511306763,0.22013594210147858
13,13,0.1399015131710957,0.9477973580360413,0.35023370385169983,0.13892138004302979,0.947138249874115,0.27395445108413696
14,14,0.13162153974796334,0.9522761702537537,0.39284518361091614,0.14736847579479218,0.9469279646873474,0.286173939704895
15,15,0.129005326326035,0.9536209106445312,0.3799282908439636,0.13508208096027374,0.9493235945701599,0.28447896242141724
16,16,0.13621830886217934,0.9503538012504578,0.36174800992012024,0.15159589052200317,0.9410472512245178,0.24284742772579193
17,17,0.1279187221497966,0.9525825381278992,0.37688541412353516,0.18005473911762238,0.9425987601280212,0.3213405907154083
18,18,0.1294154342381845,0.952445387840271,0.4015144109725952,0.1413782685995102,0.9465603232383728,0.2570444643497467
19,19,0.12977919930245918,0.9518516063690186,0.4050547182559967,0.16447216272354126,0.9390012621879578,0.261552095413208
20,20,0.1452630019869106,0.9449008107185364,0.3570924997329712,0.13956095278263092,0.946743905544281,0.3211459219455719
21,21,0.13350671380220985,,0.4046861529350281,0.13985402882099152,0.9471665620803833,0.29133838415145874
22,22,0.12772065314810532,0.953517735004425,0.400724321603775,0.15391600131988525,0.946029007434845,0.3188644349575043
23,23,0.12803659453176153,0.9521699547767639,0.38940802216529846,0.13822665810585022,0.9442140460014343,0.2633141577243805
24,24,0.12304719411081468,0.9548637270927429,0.411222904920578,0.13363225758075714,0.9513072371482849,0.3133513331413269
25,25,0.12189252380332431,0.9543218612670898,0.4014865756034851,0.1346368044614792,0.9477912187576294,0.2728145122528076
26,26,0.12053025088523729,0.9559727311134338,0.3898123800754547,0.1398431956768036,0.9442387223243713,0.27209219336509705
27,27,0.12294353448594801,0.954469621181488,0.41728559136390686,0.12989187240600586,0.9496876001358032,0.27756547927856445
28,28,0.11751809535631672,0.9562335014343262,0.41098877787590027,0.12803782522678375,0.9513415098190308,0.2678653299808502
29,29,0.11487734109724466,0.9572097659111023,0.4229315221309662,0.12183846533298492,0.9543055891990662,0.3035174310207367
30,30,0.11347799681019612,0.9576097130775452,0.42101287841796875,0.11796875298023224,0.9556112289428711,0.31965988874435425
31,31,0.10987203776275213,0.9586800932884216,0.44710904359817505,0.12304729223251343,0.9516127705574036,0.3258398175239563
32,32,0.10997966269496828,0.9593461155891418,0.4223022162914276,0.12582926452159882,0.9512572884559631,0.3085942566394806
33,33,0.11355980340606318,0.9582343697547913,0.4229615032672882,0.12867000699043274,0.9516364336013794,0.3194757103919983
34,34,0.10995433884314619,0.9591888189315796,0.42673125863075256,0.12213997542858124,0.9544747471809387,0.33161118626594543
35,35,0.10959984213919736,0.9600207209587097,0.450926274061203,0.12649767100811005,0.9518730044364929,0.31601157784461975
36,36,0.11135705614325185,0.9583389163017273,0.44409531354904175,0.12759238481521606,0.9509167075157166,0.31998544931411743
37,37,0.10919407161418349,0.9596747756004333,0.4167576730251312,0.1527429223060608,0.949789822101593,0.2971916198730469
38,38,0.1174927517855301,0.9568699598312378,0.4354647099971771,0.12304897606372833,0.9543218612670898,0.31958723068237305
39,39,0.11191643278027932,0.9582623243331909,0.4516391456127167,0.12044505774974823,0.9551851153373718,0.3386712074279785
40,40,0.09902737475633143,0.9638763070106506,0.43786925077438354,0.11906643211841583,0.9573256969451904,0.3356724679470062
41,41,0.09993796271439163,0.9632952809333801,0.46154800057411194,0.1335238814353943,0.949668288230896,0.3020867705345154
42,42,0.1101583307623887,0.9595683217048645,0.44839659333229065,0.12330389767885208,0.9527669548988342,0.3419177830219269
43,43,0.10389779554232238,0.9608422517776489,0.4560506343841553,0.12529046833515167,0.9541643261909485,0.3327224850654602
44,44,0.09592398245317432,0.9648780822753906,0.46177124977111816,0.1102549210190773,0.9574543237686157,0.347202330827713
45,45,0.09703240455247653,0.9635807275772095,0.47388386726379395,0.11832857877016068,0.9563654661178589,0.3561268150806427
46,46,0.10300067549374384,0.9622657895088196,0.45205453038215637,0.11333643645048141,0.9564140439033508,0.3416009247303009
47,47,0.0971830700254008,0.9640516042709351,0.46901577711105347,0.12931564450263977,0.9536877870559692,0.3155578374862671
48,48,0.09836144587741448,,0.44721245765686035,0.10804960876703262,0.9603022933006287,0.400083065032959
49,49,0.11054947530367197,0.9608007669448853,0.42493459582328796,0.12423327565193176,0.9511468410491943,0.3498578369617462
50,50,0.09748950628664506,0.9635475277900696,0.4766943156719208,0.10718508809804916,0.9590721726417542,0.3877568244934082
51,51,0.09931364545198636,0.9626951813697815,0.46647924184799194,0.11429359018802643,0.9573569297790527,0.3477295935153961
52,52,0.09269320221993929,0.9657403826713562,0.44579917192459106,0.13849487900733948,0.9517719745635986,0.33616364002227783
53,53,0.09130671273884125,0.9666207432746887,0.4694020748138428,0.11996161937713623,0.956428050994873,0.3611374497413635
54,54,0.08818263546653235,0.9669483304023743,0.4788000285625458,0.11561121791601181,0.9580340385437012,0.3716588318347931
55,55,0.08173316854980583,0.969778835773468,0.4804435670375824,0.11002205312252045,0.9605702757835388,0.36994650959968567
56,56,0.08433227681029493,0.9691529870033264,0.49608808755874634,0.10556002706289291,0.9613612294197083,0.3847789168357849
57,57,0.09516719875122923,0.9646150469779968,0.4722548723220825,0.10829836875200272,0.9591897130012512,0.36817440390586853
58,58,0.08419443929167943,0.9691316485404968,0.49701932072639465,0.10837995260953903,0.9608463644981384,0.3867427110671997
59,59,0.08257835580988261,0.9694857597351074,0.5132293701171875,0.1234540119767189,0.9571574330329895,0.3739314675331116
60,60,0.08589081542688803,0.968291163444519,0.5056277513504028,0.12244760245084763,0.9508829116821289,0.39997267723083496
61,61,0.07911655542892941,0.9708404541015625,0.53440260887146,0.11020581424236298,0.9581511616706848,0.3931422233581543
62,62,0.07597646901297431,0.97190260887146,0.5044217109680176,0.10817935317754745,0.9609198570251465,0.4021748900413513
63,63,0.0768178099720106,0.9718307256698608,0.5385933518409729,0.12884600460529327,0.9553959965705872,0.36098089814186096
64,64,0.07439558913047688,0.9724147915840149,0.5234150886535645,0.09476000815629959,0.9646061062812805,0.40834277868270874
65,65,0.07518487126500799,0.9723594188690186,0.5440000295639038,0.10376594215631485,0.9616131782531738,0.4226011335849762
66,66,0.09977421649874976,0.964922308921814,0.47425076365470886,0.13332803547382355,0.948994517326355,0.35871392488479614
67,67,0.10577220475533977,0.9621253609657288,0.45225128531455994,0.10998069494962692,0.9607886075973511,0.3600916862487793
68,68,0.08489612366956396,0.9688633680343628,0.5088428258895874,0.1031331717967987,0.9606958627700806,0.419268935918808
69,69,0.07280425353942868,0.9733514189720154,0.5287948846817017,0.09787497669458389,0.9639376401901245,0.4164465069770813
70,70,0.06998427506187,0.9742626547813416,0.5353207588195801,0.09886259585618973,0.9636861681938171,0.4276202321052551
71,71,0.07085186298205279,0.9735457897186279,0.5540410876274109,0.10774881392717361,0.9604810476303101,0.42618805170059204
72,72,0.06785141401968968,0.97488933801651,0.560210108757019,0.09357970207929611,0.966425895690918,0.424360990524292
73,73,0.06713980026931192,0.9752175807952881,0.5444097518920898,0.0927199125289917,0.9654478430747986,0.4313091039657593
74,74,0.06473922372932951,0.9762757420539856,0.5518965125083923,0.09051686525344849,0.9667528867721558,0.447238028049469
75,75,0.06630264033670895,0.9752193689346313,0.5575477480888367,0.09906712174415588,0.9638126492500305,0.42710888385772705
76,76,0.06488597748363809,0.9759591221809387,0.5664958357810974,0.10106020420789719,0.9661323428153992,0.43161123991012573
77,77,0.06871637824149683,0.9742529392242432,0.5453193187713623,0.08995652198791504,0.9670366644859314,0.439400851726532
78,78,0.0656261346653665,0.9756364226341248,0.5695622563362122,0.10443958640098572,0.9647637605667114,0.4473486840724945
79,79,0.07652170545509598,0.9715719819068909,0.5308926701545715,0.1362542062997818,0.9524373412132263,0.3504207730293274
80,80,0.11695265892493086,0.9570652842521667,0.4641697406768799,0.11456555128097534,0.9540339112281799,0.36689120531082153
81,81,0.08158069292440838,0.970058262348175,0.5138120651245117,0.10125339031219482,0.9624602198600769,0.4042039215564728
82,82,0.0745923276501857,0.9723322987556458,0.5317363739013672,0.09087373316287994,0.9671154618263245,0.4322650730609894
83,83,0.06261377554433122,0.9768118262290955,0.5784651041030884,0.09174760431051254,0.9674396514892578,0.45463013648986816
84,84,0.060172289364765257,0.9774169325828552,0.600430965423584,0.09472797065973282,0.9675570130348206,0.46024391055107117
85,85,0.06133197306786688,0.976809561252594,0.5905665159225464,0.09081421792507172,0.9685502648353577,0.4620969295501709
86,86,0.05814677651058166,0.977867603302002,0.6029621958732605,0.08799467980861664,0.9682732224464417,0.48236531019210815
87,87,0.05978777218469753,0.9773244857788086,0.6072992086410522,0.0950111523270607,0.9656171798706055,0.4375225603580475
88,88,0.060700039211112125,0.9771362543106079,0.5920096039772034,0.09301608800888062,0.9661559462547302,0.47816357016563416
89,89,0.057736378159927715,0.9782896637916565,0.5990810990333557,0.08833879977464676,0.9697015285491943,0.4783029854297638
90,90,0.05497882219191151,0.9790147542953491,0.5967901945114136,0.09042444080114365,0.967204749584198,0.48706817626953125
91,91,0.05563418954783955,0.9788495898246765,0.605807363986969,0.09359890222549438,0.9684996008872986,0.47402963042259216
92,92,0.05429172424304012,0.9792629480361938,0.6265435814857483,0.09449752420186996,0.9689052700996399,0.4855574667453766
93,93,0.05546037655884179,0.978714108467102,0.6162206530570984,0.08526410907506943,0.9695150256156921,0.48930805921554565
94,94,0.05708265242663821,0.9784225225448608,0.5909651517868042,0.09169928729534149,0.9692413210868835,0.4685767590999603
95,95,0.05484142136769011,0.9789504408836365,0.6236812472343445,0.08812163770198822,0.9673450589179993,0.5023974180221558
96,96,0.05725630103514936,0.978118896484375,0.5906251072883606,0.09102430194616318,0.9653521180152893,0.4816111922264099
97,97,0.07079323061043397,0.9737829566001892,0.5571165680885315,0.09490808099508286,0.9682472348213196,0.4693295359611511
98,98,0.058025281917742595,0.9779385328292847,0.6021614670753479,0.08772240579128265,0.9684600830078125,0.49702903628349304
99,99,0.05299911925640817,0.9794989228248596,0.6176561713218689,0.09339527785778046,0.9694611430168152,0.4757038652896881
100,100,0.05293640466100978,0.9793332815170288,0.617603063583374,0.09451604634523392,0.9669790267944336,0.5014569163322449
101,101,0.05081397497586948,0.9802572727203369,0.6541947722434998,0.08360471576452255,0.9708890914916992,0.504231333732605
102,102,0.05408943112874672,0.9791343808174133,0.6312476396560669,0.09085023403167725,0.9699001908302307,0.5009711980819702
103,103,0.052315783226871505,0.9795975685119629,0.6168367266654968,0.08460303395986557,0.9700727462768555,0.4863395690917969
104,104,0.050470638190063255,0.9802793860435486,0.640113353729248,0.09494196623563766,0.9694845080375671,0.48755690455436707
105,105,0.0515400256561593,0.9796217083930969,0.6322715878486633,0.08063263446092606,0.9710558652877808,0.5179924368858337
106,106,0.05307800038318442,0.9792479872703552,0.6336832642555237,0.0911363735795021,0.9699200391769409,0.49068358540534973
107,107,0.052952769874723464,0.9793981313705444,0.63478022813797,0.08821393549442291,0.9702535271644592,0.49987491965293884
108,108,0.05065717077396142,0.9801326990127563,0.6377525925636292,0.09180919080972672,0.969868540763855,0.5077387690544128
109,109,0.05067703114129985,0.9800654053688049,0.6421332359313965,0.08521979302167892,0.9710100293159485,0.5125307440757751
110,110,0.05290032932153293,0.9791038036346436,0.6332558989524841,0.07979043573141098,0.9715963006019592,0.5109573006629944
111,111,0.05149289130694785,0.9797021746635437,0.6577555537223816,0.0834909975528717,0.9712129235267639,0.533633291721344
112,112,0.04830465566378851,0.9808628559112549,0.643262505531311,0.08098175376653671,0.9722099900245667,0.5332778692245483
113,113,0.04642762792354915,0.9814687967300415,0.6641438007354736,0.09000760316848755,0.9720911979675293,0.5245667099952698
114,114,0.04637591950505829,0.9816274642944336,0.6392530202865601,0.08467733860015869,0.9686983823776245,0.5267460346221924
115,115,0.04921430504868905,0.9804298281669617,0.6595234870910645,0.09198498725891113,0.965240478515625,0.4793243110179901
116,116,0.04764822930752789,0.9811471700668335,0.6359720826148987,0.08697214722633362,0.9717596769332886,0.533908486366272
117,117,0.045966548014360176,0.9816108345985413,0.6680716276168823,0.08167862892150879,0.9728946685791016,0.5236623287200928
118,118,0.045084590400643394,0.9819230437278748,0.677122950553894,0.07886367291212082,0.972440242767334,0.5497629642486572
119,119,0.04514670436331541,0.9819256067276001,0.6450417637825012,0.10226254165172577,0.9693050980567932,0.48128536343574524
120,120,0.04585819701475348,,0.6735662221908569,0.09218411147594452,0.9714281558990479,0.5479239821434021
121,121,0.08272837817761076,0.9682589173316956,0.5785858631134033,0.1694813072681427,0.9346179962158203,0.3605160415172577
122,122,0.11929296280663365,0.9574682712554932,0.4669491648674011,0.13038071990013123,0.9521333575248718,0.3462636172771454
123,123,0.10559591125676003,0.96254563331604,0.4645697772502899,0.09798892587423325,0.9629755020141602,0.4381798207759857
124,124,0.06929872838932519,0.9744491577148438,0.53706294298172,0.0929160937666893,0.9678208231925964,0.4556503891944885
125,125,0.054197335627321035,0.9791111350059509,0.6057546138763428,0.08565759658813477,0.9701052308082581,0.4904164969921112
126,126,0.04837610176885695,0.9809013605117798,0.6623408198356628,0.09161800146102905,0.9689472317695618,0.52071613073349
127,127,0.04466009484074162,0.9821764826774597,0.6642684936523438,0.0869913399219513,0.9715646505355835,0.5385653972625732
128,128,0.04300407972998353,0.9827775359153748,0.678121030330658,0.08857277780771255,0.9704315066337585,0.5439908504486084
129,129,0.04204426142849535,0.9830507040023804,0.6931429505348206,0.08956273645162582,0.9716819524765015,0.5471425652503967
130,130,0.04170742098559015,0.983133852481842,0.7001948952674866,0.08593323081731796,0.9719488620758057,0.5542415976524353
131,131,0.04050573709285415,0.9835812449455261,0.6966715455055237,0.0857289656996727,0.9728837609291077,0.5563608407974243
132,132,0.04091550385703904,0.9833784103393555,0.7284966707229614,0.08387063443660736,0.9720322489738464,0.5591050386428833
133,133,0.040583159522541865,0.9834484457969666,0.6915309429168701,0.08408882468938828,0.9721809029579163,0.5626298189163208
134,134,0.040464213448686705,0.9835189580917358,0.7189238667488098,0.08724770694971085,0.9730482697486877,0.5679756999015808
135,135,0.039035939226708324,0.9840884208679199,0.7229469418525696,0.08310991525650024,0.9731882810592651,0.5607852339744568
136,136,0.04068044515924367,0.9833399653434753,0.7177976369857788,0.08313692361116409,0.9718688130378723,0.566807210445404
137,137,0.040666579389765575,0.9835283160209656,0.690353512763977,0.08645312488079071,0.9712160229682922,0.5423917770385742
138,138,0.03959374158288343,0.983843207359314,0.7066384553909302,0.08737020194530487,0.9729932546615601,0.5609419941902161
139,139,0.03980251899151764,0.9837307333946228,0.7080504298210144,0.08644803613424301,0.9706432819366455,0.5810114741325378
140,140,0.04082566574829681,0.983301043510437,0.7023262977600098,0.08953909575939178,0.9731199145317078,0.583504855632782
141,141,0.043619345002671485,0.9821981191635132,0.7004103660583496,0.08724372833967209,0.9725077748298645,0.5626876354217529
142,142,0.04049365477399428,0.9835184812545776,0.7221419811248779,0.08132776618003845,0.973277747631073,0.5684497952461243
143,143,0.03828274099664551,0.9843122363090515,0.7105870246887207,0.07844298332929611,0.9737370610237122,0.5765230059623718
144,144,0.03716437781636509,0.9847610592842102,0.717074990272522,0.08260180801153183,0.9732509851455688,0.5985630750656128
145,145,0.036957472765164145,0.9848460555076599,0.7275077104568481,0.07600671052932739,0.9742664694786072,0.5930772423744202
146,146,0.03766675723118869,0.9845922589302063,0.7236984968185425,0.09388380497694016,0.9732660055160522,0.5784763693809509
147,147,0.03780763920151049,0.9845126271247864,0.7100523710250854,0.08284793049097061,0.9740087985992432,0.5803617238998413
148,148,0.03886581771047741,0.984070897102356,0.7224918603897095,0.08771912753582001,0.9708650708198547,0.5761247873306274
149,149,0.039275631751083076,0.9841316342353821,0.6959449052810669,0.1018134355545044,0.9718035459518433,0.5441001057624817
150,150,0.03932604168694991,0.983866274356842,0.7160624861717224,0.08269859850406647,0.9725566506385803,0.5704640746116638
151,151,0.03887416346916348,0.983980119228363,0.7400533556938171,0.08042115718126297,0.9745074510574341,0.5991770625114441
152,152,0.03839190376644789,0.9842391610145569,0.7342649698257446,0.0791720375418663,0.9703132510185242,0.5674428939819336
153,153,0.03736186248300864,0.9846547842025757,0.7357969880104065,0.0891498401761055,0.9742032289505005,0.6077858805656433
154,154,0.036131191823957264,0.9850950241088867,0.7447503805160522,0.08897071331739426,0.9719792008399963,0.5891578197479248
155,155,0.03553989127223572,0.98538738489151,0.7552850842475891,0.07933757454156876,0.973843514919281,0.6068809628486633
156,156,0.0345904298099366,0.9857311844825745,0.7381652593612671,0.07710433751344681,0.9750962257385254,0.6356610059738159
157,157,0.03361840156181783,0.9861631393432617,0.7550039887428284,0.08648085594177246,0.9739608764648438,0.6244155168533325
158,158,0.04503406095878185,0.9819129705429077,0.6824737787246704,0.11334440857172012,0.9543484449386597,0.40147876739501953
159,159,0.07678724605051311,0.9714834094047546,0.5267401337623596,0.11077931523323059,0.9642339944839478,0.4490528702735901
160,160,0.04499276321607445,0.9819616675376892,0.6854159832000732,0.07886719703674316,0.9729375839233398,0.577742874622345
161,161,0.036186206082418675,0.9851498007774353,0.7342866659164429,0.08378291875123978,0.9750643372535706,0.6198456883430481
162,162,0.0332558550880304,0.9863662719726562,0.755081295967102,0.08232449740171432,0.974922776222229,0.6244140267372131
163,163,0.03200747122700238,0.9868864417076111,0.7514681220054626,0.08696109801530838,0.9757048487663269,0.6245695948600769
164,164,0.03174346888534693,0.9869461059570312,0.7789914011955261,0.08544238656759262,0.9755414724349976,0.6409545540809631
165,165,0.03135432410929822,0.9870562553405762,0.7733787894248962,0.08704923093318939,0.9746174216270447,0.603656530380249
166,166,0.03326317333035616,0.9862387180328369,0.7634483575820923,0.08730415999889374,0.9740743041038513,0.6269167065620422
167,167,0.03403260807818953,0.985903263092041,0.7492783665657043,0.0764084905385971,0.9755352735519409,0.6329030394554138
168,168,0.03439519081086673,0.9857525825500488,0.7498522400856018,0.08040814846754074,0.9745805859565735,0.6139852404594421
169,169,0.03379894875472299,0.9860203266143799,0.7677444815635681,0.08852279186248779,0.9746201634407043,0.6344894766807556
170,170,0.0329868188203754,0.9863476157188416,0.7666612267494202,0.07770522683858871,0.9758017063140869,0.6374764442443848
171,171,0.03258233689644513,0.9864919781684875,0.761670708656311,0.09018760919570923,0.9745643138885498,0.6347171664237976
172,172,0.032281285560925306,0.9866480827331543,0.7574701905250549,0.0788293182849884,0.9758642315864563,0.6498181819915771
173,173,0.03214114101632358,0.986780047416687,0.7694002985954285,0.0915185883641243,0.9738297462463379,0.6164951920509338
174,174,0.03233286852780974,0.9866146445274353,0.7698118686676025,0.08603211492300034,0.9753301739692688,0.6347818970680237
175,175,0.0315893819067638,0.9869233965873718,0.7696536183357239,0.08238931745290756,0.9753928780555725,0.6365803480148315
176,176,0.03149167442108464,0.9869411587715149,0.7583134174346924,0.08580629527568817,0.9746361374855042,0.6122854948043823
177,177,0.03868800461611663,0.9842410087585449,0.7252349853515625,0.07229266315698624,0.9745820164680481,0.5810363292694092
178,178,0.034117620513802065,0.9859663248062134,0.7434702515602112,0.08932020515203476,0.9752666354179382,0.6084597110748291
179,179,0.03303373285733613,0.986397385597229,0.7718157172203064,0.08408774435520172,0.9760851263999939,0.6500497460365295
180,180,0.03160312352888585,0.9869344830513,0.7686696648597717,0.08743008971214294,0.9758094549179077,0.6397355198860168
181,181,0.03129441817402086,0.9870263338088989,0.7733330726623535,0.08005166053771973,0.9768064022064209,0.6532288193702698
182,182,0.031232957962028872,0.9870965480804443,0.777357816696167,0.08575499802827835,0.975660502910614,0.6312185525894165
183,183,0.030091542818459296,0.9875286221504211,0.7763605713844299,0.08764379471540451,0.9760246872901917,0.6419796347618103
184,184,0.03030938320047519,0.987418532371521,0.7853221297264099,0.08413863182067871,0.9765268564224243,0.6572856903076172
185,185,0.031657027594076514,0.9868348240852356,0.7577153444290161,0.0848621279001236,0.9758915305137634,0.6328784823417664
186,186,0.030755298412189474,0.9872511029243469,0.7704144716262817,0.07990699261426926,0.9764255881309509,0.6545180678367615
187,187,0.031704582218900705,0.9869056344032288,0.7624069452285767,0.07850635796785355,0.9761583805084229,0.6404328942298889
188,188,0.03456111269815665,0.9856495261192322,0.7610359191894531,0.07672063261270523,0.976982831954956,0.6550437808036804
189,189,0.03076318538499506,0.9872085452079773,0.7815613746643066,0.0863630622625351,0.9754728078842163,0.655914843082428
190,190,0.03553846345136709,0.9856566786766052,0.7554419636726379,0.09248442202806473,0.9721790552139282,0.5281203985214233
191,191,0.05508299557643626,0.9785102605819702,0.6381336450576782,0.08679401129484177,0.9723559617996216,0.5257495641708374
192,192,0.04201076203184456,0.9831286668777466,0.695940375328064,0.07522402703762054,0.975902795791626,0.6469184160232544
193,193,0.030927691242648228,0.9873030185699463,0.7721278667449951,0.07886740565299988,0.9773823022842407,0.6627652645111084
194,194,0.02923462851079724,0.9879765510559082,0.7903761863708496,0.08148955553770065,0.9772533774375916,0.6654979586601257
195,195,0.02749123756450736,0.9887034296989441,0.8061835765838623,0.07989206910133362,0.9779050946235657,0.6744213700294495
196,196,0.028144062925915793,0.9884043335914612,0.7963638305664062,0.08476699143648148,0.9776256680488586,0.665239155292511
197,197,0.026924408560163125,0.9888988733291626,0.8067084550857544,0.08140629529953003,0.9779686331748962,0.6725220680236816
198,198,0.028379470950755766,0.9882427453994751,0.7887995839118958,0.08807459473609924,0.9761325120925903,0.6477035284042358
199,199,0.0320720643355507,0.9866960048675537,0.7676124572753906,0.08581481128931046,0.9760643839836121,0.6556640267372131
200,200,0.028992802024265237,0.9879986047744751,0.7886511087417603,0.07968752831220627,0.9774053692817688,0.66834956407547
201,201,0.02768135854230189,0.9885526895523071,0.800590455532074,0.08151731640100479,0.9775909185409546,0.6688085198402405
202,202,0.028210548464328848,0.988315999507904,0.806105375289917,0.08855690807104111,0.9763550758361816,0.654854953289032
203,203,0.027752096153360294,0.9885178804397583,0.8091193437576294,0.08219879120588303,0.9775451421737671,0.6669552326202393
204,204,0.027236054335634644,0.9887133836746216,0.7864447236061096,0.08693795651197433,0.9773760437965393,0.662269115447998
205,205,0.02903201113155937,0.9879159331321716,0.7925177216529846,0.09345277398824692,0.975475013256073,0.6405887007713318
206,206,0.029038268651438905,0.9879255890846252,0.7827610969543457,0.08030005544424057,0.975898265838623,0.6572192311286926
207,207,0.028471799402699942,0.9881779551506042,0.7909202575683594,0.090421162545681,0.9770828485488892,0.6685393452644348
208,208,0.02788045911169763,0.9884231090545654,0.7906188368797302,0.07716070115566254,0.9779699444770813,0.6782118678092957
209,209,0.02773168699260308,0.988486111164093,0.7984951138496399,0.08036353439092636,0.9772943258285522,0.6609945297241211
210,210,0.02861844567948934,0.988118588924408,0.7757408022880554,0.08346087485551834,0.9766291379928589,0.669410228729248
211,211,0.027978512694668705,0.9883819222450256,0.7961291670799255,0.08563157171010971,0.9772466421127319,0.6631835699081421
212,212,0.027558320409956975,0.9885361790657043,0.806641697883606,0.08043381571769714,0.9758460521697998,0.6755221486091614
213,213,0.02722662090317767,0.9887063503265381,0.808273434638977,0.07336287945508957,0.9782252311706543,0.6756364703178406
214,214,0.027408435183669776,0.9886112809181213,0.8083672523498535,0.08690736442804337,0.9768669009208679,0.6634222865104675
215,215,0.027805546982411517,0.9884757995605469,0.803293764591217,0.09090086072683334,0.9758046269416809,0.6371325850486755
216,216,0.027188056472975102,0.9887287616729736,0.8017275333404541,0.08670620620250702,0.9762698411941528,0.6503110527992249
217,217,0.02775801391787051,0.9884527325630188,0.7955166101455688,0.09266351163387299,0.977079451084137,0.6679730415344238
218,218,0.029849546996373624,0.9877229332923889,0.7619423270225525,0.08795766532421112,0.976712703704834,0.6546215415000916
219,219,0.028945223160521075,0.9879851937294006,0.7990542650222778,0.07689044624567032,0.9767042994499207,0.6239604949951172
220,220,0.026374865615159646,0.9890723824501038,0.7938703298568726,0.07630359381437302,0.9785160422325134,0.6826827526092529
221,221,0.026179181120917352,0.9891322255134583,0.8100658655166626,0.07337784767150879,0.9787225723266602,0.6707161664962769
222,222,0.025494831735584693,,0.8243520855903625,0.09729492664337158,0.9761373996734619,0.6538041234016418
223,223,0.027501654631916422,0.9885876178741455,0.7963770627975464,0.0794205367565155,0.9779524207115173,0.6620329022407532
224,224,0.027252367040861057,0.988677978515625,0.8056771755218506,0.0783095434308052,0.9738227128982544,0.636314332485199
225,225,0.04077482686546155,0.9836463928222656,0.71600741147995,0.07751481235027313,0.9773173332214355,0.6395567059516907
226,226,0.03157020949098902,,0.7735186815261841,0.08396527171134949,0.9768494963645935,0.6596044301986694
227,227,0.026436100123145224,0.9890542030334473,0.8204658627510071,0.09294719994068146,0.9778770804405212,0.6772512793540955
228,228,0.02469057528646947,0.9898063540458679,0.8212047815322876,0.08428221940994263,0.9788990616798401,0.6919248700141907
229,229,0.02336448545825603,0.9903813004493713,0.8341315984725952,0.08622310310602188,0.9791111350059509,0.6945340037345886
230,230,0.02349275701484051,0.9903184175491333,0.8272489309310913,0.0785069465637207,0.9793000221252441,0.6982995271682739
231,231,0.023898907542452903,0.9901368618011475,0.829196035861969,0.08431576192378998,0.978378415107727,0.6946547031402588
232,232,0.024035082529536567,0.9900355339050293,0.8205533027648926,0.0868045911192894,0.9782943725585938,0.6893470287322998
233,233,0.026655612624136456,0.9889019727706909,0.8192367553710938,0.08896509557962418,0.9771003127098083,0.6503137946128845
